PROVINCIA,DISTRITO,lat,long
HUANCAVELICA,HUANCAVELICA,-12.78728,-74.9730951
HUANCAVELICA,ACOBAMBILLA,-12.7047624,-75.3793301
HUANCAVELICA,ACORIA,-12.6428929,-74.8616179
HUANCAVELICA,CONAYCA,-12.5198762,-75.0069803
HUANCAVELICA,CUENCA,-12.4331919,-75.0386638
HUANCAVELICA,HUACHOCOLPA,-13.0317426,-74.9470783
HUANCAVELICA,HUAYLLAHUARA,-12.4094641,-75.1783538
HUANCAVELICA,IZCUCHACA,-12.5005983,-74.997274
HUANCAVELICA,LARIA,-12.5612405,-75.0368788
HUANCAVELICA,MANTA,-12.6202779,-75.211004
HUANCAVELICA,MARISCAL CACERES,-12.5341479,-74.9333102
HUANCAVELICA,MOYA,-12.4232508,-75.1538265
HUANCAVELICA,NUEVO OCCORO,-12.5947537,-75.0196367
HUANCAVELICA,PALCA,-12.6566995,-74.9805785
HUANCAVELICA,PILCHACA,-12.4011858,-75.0838268
HUANCAVELICA,VILCA,-12.4773763,-75.1834515
HUANCAVELICA,YAULI,-12.7698467,-74.851089
HUANCAVELICA,ASCENSION,-12.7839564,-74.9782326
HUANCAVELICA,HUANDO,-12.564374,-74.9472848
ACOBAMBA,ACOBAMBA,-12.8425512,-74.5691562
ACOBAMBA,ANDABAMBA,-12.6937656,-74.6237846
ACOBAMBA,ANTA,-12.8121624,-74.6385209
ACOBAMBA,CAJA,-12.9155215,-74.4661521
ACOBAMBA,MARCAS,-12.8901711,-74.3979132
ACOBAMBA,PAUCARA,-12.7299492,-74.6662329
ACOBAMBA,POMACOCHA,-12.8741295,-74.5316587
ACOBAMBA,ROSARIO,-12.7211475,-74.5824988
ANGARAES,LIRCAY,-12.9895611,-74.720505
ANGARAES,ANCHONGA,-12.91312,-74.6914334
ANGARAES,CALLANMARCA,-12.8668887,-74.6231309
ANGARAES,CCOCHACCASA,-12.9275399,-74.7699827
ANGARAES,CHINCHO,-12.9728691,-74.3673271
ANGARAES,CONGALLA,-12.9560195,-74.4922582
